ID,LOCCY14,LOCCY15,LOCCY16,LOCCY17,LOCCY18,LOCCY19,SRCCY14,SRCCY15,SRCCY16,SRCCY17,SRCCY18,SRCCY19,SRCLY15,SRCLY16,SRCLY17,SRCLY18,SRCLY19,LOCLY14,LOCLY15,LOCLY16,LOCLY17,LOCLY18,LOCLY19
C311K,Pen,Fre,Pen,Pen,Fre,Pen,365,0,180,365,365,365,365,0,180,365,365,Free,Pen,Fre,Pen,Pen,Fre
C312K,Pen,Fre,Pen,Fre,Pen,Pen,365,0,365,0,0,0,365,0,365,0,0,Free,Pen,Fre,Pen,Fre,Pen
C313K,Pen,Pen,Fre,Fre,Pen,Fre,84,0,0,0,365,0,84,0,0,0,365,Free,Pen,Pen,Fre,Fre,Pen
C314K,Pen,Fre,Pen,Fre,,,365,0,365,0,,,365,0,365,0,,Free,Pen,Fre,Pen,Fre,
C315S,Pen,Pen,Pen,Pen,Pen,Fre,48,0,0,365,365,0,48,0,0,365,365,Free,Pen,Pen,Pen,Pen,Pen
C316S,Pen,Pen,Pen,,,,44,0,0,,,,44,0,0,,,Free,Pen,Pen,Pen,,
C317S,Pen,Fre,Pen,Fre,Pen,Pen,270,0,365,0,0,365,270,0,365,0,0,Free,Pen,Fre,Pen,Fre,Pen
C318S,Pen,,,,,,0,,,,,,0,,,,,Free,Pen,,,,
C319K,Pen,Fre,Pen,Pen,Pen,Fre,365,0,1028,365,365,0,365,0,1028,365,365,Free,Pen,Fre,Pen,Pen,Pen
C320S,Pen,,,,,,37,,,,,,37,,,,,Free,Pen,,,,
C331K,,Pen,Fre,Fre,,,,365,60,0,,,,365,60,0,,Free,,Pen,Fre,Fre,
C332K,,Pen,Pen,Fre,Pen,Fre,,0,180,0,0,0,,0,180,0,0,Free,,Pen,Pen,Fre,Pen
C333K,,Pen,Pen,Fre,Fre,Pen,,0,180,365,0,0,,0,180,365,0,Free,,Pen,Pen,Fre,Fre
C334K,Fre,Pen,Fre,,,,0,365,60,,,,0,365,60,,,Free,Fre,Pen,Fre,,
C335K,,Pen,Fre,Fre,Pen,Fre,,365,0,0,136,365,,365,0,0,136,Free,,Pen,Fre,Fre,Pen
C336K,,Pen,Fre,Fre,Pen,Fre,,365,180,365,365,0,,365,180,365,365,Free,,Pen,Fre,Fre,Pen
C337S,Fre,Pen,Fre,Fre,Pen,,0,365,365,365,365,,0,365,365,365,365,Free,Fre,Pen,Fre,Fre,Pen
C338K,,Pen,Pen,Fre,Fre,Pen,,0,365,0,0,365,,0,365,0,0,Free,,Pen,Pen,Fre,Fre
C341K,,,,Pen,Fre,Pen,,,,365,0,365,,,,365,0,Free,,,,Pen,Fre
C346K,,,Pen,Pen,Fre,Fre,,,0,365,365,0,,,0,365,365,Free,,,Pen,Pen,Fre
C347K,,,Pen,Fre,Pen,,,,365,0,206,,,,365,0,206,Free,,,Pen,Fre,Pen
C348S,,,Pen,Pen,Fre,Pen,,,365,365,0,365,,,365,365,0,Free,,,Pen,Pen,Fre
C349S,,,Fre,Fre,Pen,Pen,,,365,365,365,365,,,365,365,365,Free,,,Fre,Fre,Pen
C351K,,Fre,Pen,,,,,0,0,,,,,0,0,,,Free,,Fre,Pen,,
C364K,,,,Pen,Pen,Fre,,,,0,365,0,,,,0,365,Free,,,,Pen,Pen
C365S,,,,Pen,Fre,,,,,365,0,,,,,365,0,Free,,,,Pen,Fre
C366K,,,,Pen,,,,,,0,,,,,,0,,Free,,,,Pen,
C430K,,,,,Fre,Pen,,,,,0,238,,,,,0,Free,,,,,Fre
C343S,,,,,Fre,Pen,,,,,0,195,,,,,0,Free,,,,,Fre
C429K,,,,,Fre,Pen,,,,,0,365,,,,,0,Free,,,,,Fre
C356K,,,,,Fre,Pen,,,,,0,365,,,,,0,Free,,,,,Fre
C355K,,,,,,Pen,,,,,,365,,,,,,Free,,,,,
C369K,,,,,,Pen,,,,,,365,,,,,,Free,,,,,
C432K,,,,,,Pen,,,,,,365,,,,,,Free,,,,,
C360K,,,,,,Pen,,,,,,0,,,,,,Free,,,,,
C431K,,,,,,Pen,,,,,,0,,,,,,Free,,,,,
C433S,,,,,Fre,Fre,,,,,0,365,,,,,0,Free,,,,,Fre
C434S,,,,,Fre,Fre,,,,,365,0,,,,,365,Free,,,,,Fre
C435S,,,,,Fre,Fre,,,,,0,365,,,,,0,Free,,,,,Fre
C350S,,,Fre,,,,,,0,,,,,,0,,,Free,,,Fre,,
C352S,Fre,Fre,Fre,,,,0,365,0,,,,0,365,0,,,Free,Fre,Fre,Fre,,
C998S,Fre,,,,,,365,,,,,,365,,,,,Free,Fre,,,,
C999S,Fre,,,,,,999,,,,,,999,,,,,Free,Fre,,,,