y14,y15,y16,y17,y18,y19
365,0,180,365,365,365
365,0,365,0,0,0
84,0,0,0,365,0
365,0,365,0,,
48,0,0,365,365,0
44,0,,,,
270,0,365,0,0,365
0,,,,,
365,0,1028,365,365,0
37,,,,,
,365,60,0,,
,0,180,0,0,0
,0,180,365,0,0
0,365,60,,,
,365,0,0,136,365
,365,180,365,365,0
0,365,365,365,365,
,0,365,0,0,365
,,,365,0,365
,,0,365,365,0
,,365,0,206,
,,365,365,0,365
,,365,365,365,365
,0,,,,
,,,0,365,0
,,,365,0,
,,,0,,
,,,,0,238
,,,,0,195
,,,,0,365
,,,,0,365
,,,,,365
,,,,,365
,,,,,365
,,,,,
,,,,,0
,,,,0,365
,,,,365,0
,,,,0,365
,,0,,,
0,365,0,,,